continent,region,country,pop2018,cbr,cdr,rate_inc,netmig,projpop2030,projpop2050,imr,tfr,gnigdp,pcturban,popdens,pctwomcontra_all,pctwomcontra_mod,pctmalehiv,pctfemhiv,e0male,e0female,e65male,e65female,pctlt15_2018,pctlt15_2050,pct65p_2018,pct65p_2050
NORTHERN AMERICA,CENTRAL AMERICA,Mexico,130.8,19,6,1.3,-1,147.5,164.3,17,2.2,17740,73,571.0,67,65,0.4,0.1,75,80,18,20,27,17,7,19
EUROPE,EASTERN EUROPE,Moldova,3.5,11,11,0,0,3.4,2.9,9,1.3,6060,43,195.0,60,42,0.7,0.4,68,76,12,16,16,13,11,24
EUROPE,WESTERN EUROPE,Monaco,0,7,6,0.1,20,0,0.1,,1.5,,100,,,,,,,,,,13,,26,
ASIA,EAST ASIA,Mongolia,3.2,24,6,1.8,0,3.8,4.6,13,2.8,11170,68,565.0,55,48,0.1,0.1,66,75,12,16,30,22,4,13
EUROPE,SOUTHERN EUROPE,Montenegro,0.6,12,11,0.1,-1,0.6,0.7,2.3,1.8,19150,67,7153.0,23,15,0.1,0.1,74,79,15,18,18,15,15,26
AFRICA,NORTHERN AFRICA,Morocco,35.2,18,5,1.2,-2,39.3,43.6,22,2.2,8063,62,433.0,67,59,0.1,0.1,75,78,15,17,24,19,8,18
AFRICA,EASTERN AFRICA,Mozambique,30.5,39,10,2.9,0,42.4,67.8,65,5.3,1200,32,540.0,27,25,9.9,15,56,60,13,14,45,35,3,4
ASIA,SOUTHEAST ASIA,Myanmar,53.9,18,8,1,-1,58.9,62.4,52,2.3,5830,29,495.0,52,51,0.9,0.5,64,69,13,14,27,19,6,13
AFRICA,SOUTHERN AFRICA,Namibia,2.5,28,8,2,0,3.1,4.2,36,3.4,10320,48,317.0,56,55,9.5,14.5,62,65,13,15,37,27,4,7
OCEANIA,OCEANIA,Nauru,0,30,8,2.3,-11,0,0,18,3.9,17960,100,,36,25,,,58,65,,,37,,13,
ASIA,SOUTH ASIA,Nepal,29.7,20,6,1.4,-2,32.5,33.3,32,2.3,2710,20,1406.0,53,43,0.2,0.1,70,71,13,15,31,17,5,13
EUROPE,WESTERN EUROPE,Netherlands,17.2,10,9,0.1,5,17.9,18.4,3.5,1.6,52640,92,1668.0,73,70,0.3,0.1,80,83,19,21,16,15,18,28
OCEANIA,OCEANIA,New Caledonia,0.3,15,6,1,4,0.3,0.3,12,2.1,,71,4559.0,,,,,74,80,15,19,23,18,9,18
OCEANIA,OCEANIA,New Zealand,4.9,12,7,0.5,15,5.6,6.1,3.9,1.8,39560,86,830.0,,,0.2,0.1,80,83,19,22,19,16,15,24
NORTHERN AMERICA,CENTRAL AMERICA,Nicaragua,6.3,20,5,1.5,-4,7,7.9,18,2.2,5680,59,416.0,80,77,0.3,0.1,72,78,18,20,30,17,5,17
AFRICA,WESTERN AFRICA,Niger,22.2,48,10,3.8,0,34,63.1,60,7.2,990,16,132.0,19,18,0.3,0.3,59,61,12,13,50,43,3,3
AFRICA,WESTERN AFRICA,Nigeria,195.9,39,12,2.6,0,264.1,410.6,67,5.5,5680,50,576.0,24,16,2.5,3,53,54,11,11,44,35,3,4
EUROPE,NORTHERN EUROPE,Norway,5.3,11,8,0.3,4,5.9,6.7,2.3,1.6,63530,81,660.0,88,82,0.2,0.1,81,84,19,22,18,16,17,24
ASIA,WESTERN ASIA,Oman,4.7,20,2,1.8,32,5.8,7.1,9,2.9,40240,85,12326.0,30,19,,,75,79,16,19,22,15,3,14
ASIA,SOUTH ASIA,Pakistan,200.6,26,7,1.9,-4,244,306.6,66,3.1,5830,37,659.0,35,26,0.2,0.1,66,68,14,14,33,25,4,8
